folio,estab,sexoe,edade,prome,curso,ccon1,ccon2,ccon4,ccon5,cemo1,cemo2,cemo3,cemo4,cemo5,cemo6,ccog1,ccog2,ccog3,ccog4,ccog5,clas1,clas2,clas3,clas4,clas5,clas6,clas7,clas8,clno1,clno2,clno3,clno4,clnv1,clnv2,clnv3,clpa1,clpa2,clpa3
75,1,1,11,5.1,2,3,4,3,3,4,5,1,1,3,1,1,1,1,1,1,1,1,1,3,3,1,3,1,1,1,1,1,1,1,3,1,2,1
76,1,1,13,4.4,3,3,3,3,2,4,3,3,3,3,3,1,1,1,1,1,4,4,4,5,4,3,4,3,5,4,3,2,4,2,5,3,3,3
77,1,0,14,4,3,3,3,3,4,2,2,3,3,3,3,3,5,1,3,1,3,2,2,2,2,2,3,5,4,4,3,4,3,2,2,3,2,3
78,1,0,14,5.9,4,4,3,3,3,5,3,3,5,3,4,3,3,2,2,1,4,4,5,5,5,5,3,4,3,4,3,4,4,5,4,2,4,3
79,2,0,13,5.2,3,3,5,3,4,5,5,3,2,3,4,1,1,2,3,1,3,5,3,5,4,3,4,4,4,3,5,4,4,5,5,4,3,4
80,1,0,12,6.5,2,4,2,4,3,3,3,3,2,2,3,1,1,1,1,1,1,1,3,3,3,2,4,3,3,1,4,2,4,4,4,2,3,3
81,2,0,14,5.5,4,4,2,5,2,3,3,3,2,3,2,4,5,2,3,3,5,2,2,3,3,3,4,1,2,3,1,1,4,5,5,1,3,2
82,2,1,13,5.3,3,3,3,1,3,5,3,4,5,2,3,1,1,1,2,1,2,3,1,2,2,3,2,1,3,2,2,2,3,4,1,2,1,4
83,1,0,12,5.8,3,4,3,3,3,3,3,3,3,4,3,3,2,2,3,3,4,5,1,3,2,5,4,3,4,3,3,3,5,3,5,4,2,5
84,2,0,13,6,3,4,1,5,2,3,5,1,1,3,3,1,1,1,3,1,2,4,4,4,5,4,3,4,2,3,1,3,4,4,5,1,3,1
85,2,0,13,,3,4,1,4,3,4,4,3,3,3,3,1,3,5,5,3,4,4,3,4,5,4,3,3,5,3,4,4,4,4,3,3,3,3
86,1,1,13,5.4,2,4,2,5,1,5,3,5,5,5,4,5,5,5,4,4,5,4,5,5,5,5,5,5,4,5,4,4,4,4,4,4,3,5
87,2,0,12,5.1,2,4,3,3,3,5,3,2,4,1,3,2,1,1,2,3,3,1,2,2,5,4,4,4,4,3,5,3,4,3,3,2,2,5
88,2,0,11,5.9,1,3,3,5,2,3,4,3,3,3,3,4,4,1,4,1,4,5,5,4,5,3,5,1,4,5,3,4,5,5,5,2,5,5
89,1,0,11,5.1,2,3,2,4,3,3,3,2,5,5,3,2,3,2,3,2,4,3,4,3,5,3,3,3,2,3,3,3,5,2,5,3,1,4
90,1,0,11,5.4,2,4,3,5,2,1,5,3,3,3,1,5,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
91,1,0,13,5.5,4,4,1,4,2,5,4,4,3,3,3,1,1,1,3,2,5,3,5,5,5,4,5,4,5,3,4,4,5,5,5,4,4,5
92,2,0,11,5.7,1,4,1,5,2,3,4,4,3,5,4,4,2,3,5,4,5,2,4,5,3,4,5,2,3,5,5,2,5,5,5,2,5,5
93,2,0,11,5.4,2,3,3,5,3,5,3,3,4,3,5,1,1,1,1,1,5,5,5,3,5,3,5,3,5,3,3,5,5,5,5,5,5,5
94,2,0,12,5.5,2,3,1,5,4,3,5,1,3,3,2,2,1,1,2,1,3,3,5,4,5,5,3,4,4,3,3,5,5,4,5,1,1,3
95,2,0,11,6.7,1,3,1,1,1,5,2,3,3,3,3,4,1,1,2,3,2,4,5,5,4,5,5,5,5,4,5,5,5,5,5,2,2,5
96,1,1,13,4.8,2,5,1,3,1,3,5,3,5,5,3,1,3,1,5,5,5,4,4,4,4,3,4,4,4,2,4,2,4,4,4,4,2,4
97,2,1,14,5.6,4,3,3,3,2,3,2,1,3,3,3,1,1,1,1,1,1,1,1,3,3,3,4,2,3,2,2,3,4,4,5,1,3,1
